FU Group 1,FU Group 2,FU Group 3,FU Group 4,SS_INST,Area (um^2),Power (mW),# of Logic LUT,# of FFs,# of DSPs
,,,and,And16,6.27,0.001,33,34,0
,,,nand,Nand16,4.70,0.001,25,34,0
,,,or,Or16,6.27,0.001,33,34,0
,,,nor,Nor16,4.70,0.001,25,34,0
,,,xor,Xor16,10.98,0.002,58,34,0
,,,not,Not16,3.14,0.000,33,34,0
,,cmp,,FIXED16_CMP,96.24,0.030,510,204,0
,,,eq,CmpEQ16,11.86,0.004,62,34,0
,,,ne,CmpNE16,12.05,0.004,64,34,0
,,,ge,CmpGE16,18.23,0.006,98,34,0
,,,gt,CmpGT16,17.93,0.006,94,34,0
,,,le,CmpLE16,18.23,0.006,98,34,0
,,,lt,CmpLT16,17.93,0.006,94,34,0
,uint32 fu,,,FIXED32_ALL,5065.33,3.184,4929,660,0
,,bit operation,,FIXED32_BIT,232.06,0.088,436,396,0
,,,left shift,LShf32,92.02,0.034,170,66,0
,,,right shift,RShf32,92.32,0.033,170,66,0
,,,and reduce,AndR32,6.47,0.001,12,66,0
,,,or reduce,OrR32,6.76,0.001,12,66,0
,,,xor reduce,XorR32,21.27,0.028,38,66,0
,,,concat,Cat32,18.82,0.006,34,66,0
,,alu,,FIXED32_ALU,4538.77,3.013,3741,528,0
,,,acc,Acc32,234.12,0.287,427,66,0
,,,add,Add32,49.29,0.024,90,66,0
,,,sub,Sub32,55.57,0.028,90,66,0
,,,mul,Mul32,1299.19,1.217,73,66,0
,,,div,Div32,1169.24,0.646,1113,66,0
,,,max,Max32,9.41,0.003,74,66,0
,,,min,Min32,9.41,0.003,74,66,0
,,,mod,Mod32,1894.34,0.812,1800,66,0
,,logic,,FIXED32_LOGIC,72.13,0.013,348,396,0
,,,and,And32,12.54,0.003,58,66,0
,,,nand,Nand32,9.41,0.001,58,66,0
,,,or,Or32,9.41,0.003,58,66,0
,,,nor,Nor32,9.41,0.001,58,66,0
,,,xor,Xor32,21.95,0.005,58,66,0
,,,not,Not32,6.27,0.001,58,66,0
,,cmp,,FIXED32_CMP,222.36,0.069,404,396,0
,,,eq,CmpEQ32,24.11,0.008,44,66,0
,,,ne,CmpNE32,24.01,0.008,44,66,0
,,,ge,CmpGE32,43.61,0.013,79,66,0
,,,gt,CmpGT32,43.51,0.013,79,66,0
,,,le,CmpLE32,43.61,0.013,79,66,0
,,,lt,CmpLT32,43.51,0.013,79,66,0
,uint64 fu,,,FIXED64_ALL,17888.14,11.906,14237,3250,10
,,bit operation,,FIXED64_BIT,482.16,0.199,873,650,0
,,,left shift,LShf64,211.58,0.080,374,130,0
,,,right shift,RShf64,211.97,0.081,374,130,0
,,,and reduce,AndR64,13.03,0.001,24,130,0
,,,or reduce,OrR64,13.82,0.001,24,130,0
,,,xor reduce,XorR64,43.22,0.065,77,130,0
,,alu,,FIXED64_ALU,16809.65,11.540,12313,1040,10
,,,acc,Acc64,497.94,0.631,881,130,0
,,,add,Add64,99.47,0.049,176,130,0
,,,sub,Sub64,112.01,0.057,179,130,0
,,,mul,Mul64,4891.38,5.182,152,130,10
,,,div,Div64,4652.16,2.579,4271,130,0
,,,max,Max64,18.82,0.006,34,130,0
,,,min,Min64,18.82,0.006,34,130,0
,,,mod,Mod64,7174.48,2.987,6586,130,0
,,logic,,FIXED64_LOGIC,144.26,0.026,256,780,0
,,,and,And64,25.09,0.005,45,130,0
,,,nand,Nand64,18.82,0.002,33,130,0
,,,or,Or64,25.09,0.005,45,130,0
,,,nor,Nor64,18.82,0.002,33,130,0
,,,xor,Xor64,43.90,0.009,78,130,0
,,,not,Not64,12.54,0.001,22,130,0
,,cmp,,FIXED64_CMP,452.07,0.142,795,780,0
,,,eq,CmpEQ64,48.02,0.016,85,130,0
,,,ne,CmpNE64,47.92,0.016,84,130,0
,,,ge,CmpGE64,88.98,0.027,158,130,0
,,,gt,CmpGT64,89.08,0.027,155,130,0
,,,le,CmpLE64,88.98,0.027,158,130,0
,,,lt,CmpLT64,89.08,0.027,155,130,0
